"InstanceId","InstanceName","instancestatus","Platform","KeyName","PrivateIpAddress","PublicIpAddress","interfaceid","SubnetId","VpcId","account","Region"
"i-0499130bfb3fff22a","","running","Windows","aws-gd-np-eks","10.56.7.232",,"eni-007cef271e9466055","subnet-0962fbb6ad149af88","vpc-0d924e5019db72038","aws-gd-np","us-west-2"
"i-0ca5902ac734867da","","running",,"aws-gd-np-eks","10.56.13.106",,"eni-0266899488d968826 eni-0d2f1d14ae743f4cd","subnet-01a541712fe48b089","vpc-0d924e5019db72038","aws-gd-np","us-west-2"
"i-0291f8f73ac24bc60","","running",,"aws-gd-np-eks","10.56.11.131",,"eni-08d668aec7bddb9b5 eni-0ba53faed2d271ff5","subnet-01a541712fe48b089","vpc-0d924e5019db72038","aws-gd-np","us-west-2"
"i-0ac8a31cf609a144a","","running",,"aws-gd-np-eks","10.56.3.182",,"eni-08aa2b4c4fc96d700 eni-09b2e83adad6bdc8c","subnet-0962fbb6ad149af88","vpc-0d924e5019db72038","aws-gd-np","us-west-2"
"i-05b1b4cc1b0fdc0a5","","running",,"aws-gd-np-eks","10.56.23.98",,"eni-0d0262965bf123fd5 eni-0aa1c6b25e47f3315","subnet-0247a47921066e5c0","vpc-0d924e5019db72038","aws-gd-np","us-west-2"
"i-05dbec902706cb9cb","","running",,"aws-gd-np-eks","10.56.1.6",,"eni-0b6ac5d3e883a3b36 eni-06028646ae57b74b9","subnet-0962fbb6ad149af88","vpc-0d924e5019db72038","aws-gd-np","us-west-2"
"i-01b0f19ecfbe43117","","running",,"aws-gd-np-eks","10.56.0.58",,"eni-08c28f6c9ff4c8793 eni-02838afcbbaa453ba","subnet-0962fbb6ad149af88","vpc-0d924e5019db72038","aws-gd-np","us-west-2"
"i-07576ca4e3b5b5057","","running",,"aws-gd-np-eks","10.56.19.6",,"eni-03e33c99bea3ba72a eni-03098a93334b414f0","subnet-0247a47921066e5c0","vpc-0d924e5019db72038","aws-gd-np","us-west-2"
"i-010943356a4c74ae2","env-247760laiousw2","running",,,"10.61.143.42",,"eni-014a58309f9f5f53b","subnet-08a765fe7af589486","vpc-0c505f3f150d87b08","aws-gd-corp","us-west-2"
"i-03f6f1c9d8cd3103b","env-247760waiousw2","running","Windows",,"10.61.128.251",,"eni-099e559b78f80fd32","subnet-08a765fe7af589486","vpc-0c505f3f150d87b08","aws-gd-corp","us-west-2"
"i-05a2dd649d2d7cebd","TEST-UBUNTU","running",,"aws-gd-corp","10.61.137.196",,"eni-0cbd6db95370e0f35","subnet-08a765fe7af589486","vpc-0c505f3f150d87b08","aws-gd-corp","us-west-2"
"i-0a81a9a14417e3578","TEST-2019","running","Windows","aws-gd-corp","10.61.136.51",,"eni-0903fe52b0c0386cc","subnet-08a765fe7af589486","vpc-0c505f3f150d87b08","aws-gd-corp","us-west-2"
"i-0a3a8c85243d8fe5b","env-251070laiousw2","stopped",,,"10.61.142.248",,"eni-0e9626c6298877c11","subnet-08a765fe7af589486","vpc-0c505f3f150d87b08","aws-gd-corp","us-west-2"
"i-051188b3a206e9ed1","env-251585waiousw2","stopped","Windows",,"10.61.133.35",,"eni-06bd3c129035780e7","subnet-08a765fe7af589486","vpc-0c505f3f150d87b08","aws-gd-corp","us-west-2"
"i-049b4f8c391d8a556","env-251585laiousw2","stopped",,,"10.61.143.174",,"eni-013478daaf378467c","subnet-08a765fe7af589486","vpc-0c505f3f150d87b08","aws-gd-corp","us-west-2"
"i-0b6ef78e7a89bb75d","env-252580laio2usw2","stopped",,,"10.61.157.115",,"eni-0b7046b9a7166a2d7","subnet-0db1213247397d5cd","vpc-0c505f3f150d87b08","aws-gd-corp","us-west-2"
"i-0c027494679dc0685","env-252738laio2usw2","running",,,"10.61.157.57",,"eni-0a24e9a724dad7420","subnet-0db1213247397d5cd","vpc-0c505f3f150d87b08","aws-gd-corp","us-west-2"
"i-0643b6d672fb86bc9","GDCARCHDWEB01","running","Windows","LuisB","10.61.147.24",,"eni-0e16cdcb36adc07c1","subnet-0db1213247397d5cd","vpc-0c505f3f150d87b08","aws-gd-corp","us-west-2"
"i-0863866ec55e8acee","env-252442laio1usw2","stopped",,,"10.61.138.56",,"eni-07114a9aa68784bfa","subnet-08a765fe7af589486","vpc-0c505f3f150d87b08","aws-gd-corp","us-west-2"
"i-0dd86521520aab762","env-252442waiousw2","stopped","Windows",,"10.61.143.205",,"eni-0f34c60ea1b6f564a","subnet-08a765fe7af589486","vpc-0c505f3f150d87b08","aws-gd-corp","us-west-2"
"i-013545a12dbdff1cb","env-252580waiousw2","stopped","Windows",,"10.61.128.129",,"eni-039e8a3ccde2c46cb","subnet-08a765fe7af589486","vpc-0c505f3f150d87b08","aws-gd-corp","us-west-2"
"i-0e3060c95a9bcd3f6","env-252580laio1usw2","stopped",,,"10.61.134.10",,"eni-07b0a4b41978a5cda","subnet-08a765fe7af589486","vpc-0c505f3f150d87b08","aws-gd-corp","us-west-2"
"i-00f8508d804b57399","env-252738laio1usw2","running",,,"10.61.141.44",,"eni-0bc07f82cbbaaf5ed","subnet-08a765fe7af589486","vpc-0c505f3f150d87b08","aws-gd-corp","us-west-2"
"i-0ce92ba57e7f0ae64","env-252738waiousw2","running","Windows",,"10.61.136.29",,"eni-0dee0c94edfb6cb38","subnet-08a765fe7af589486","vpc-0c505f3f150d87b08","aws-gd-corp","us-west-2"
"i-0e3f765d11da57d84","G0VMTEST01","stopped","Windows","aws-gd-corp","10.61.140.16",,"eni-0052ae13eabfe21fc","subnet-08a765fe7af589486","vpc-0c505f3f150d87b08","aws-gd-corp","us-west-2"
"i-0a110b79c2da9e72d","GDCARCHDSQL01","running","Windows","LuisB","10.61.139.49",,"eni-0b971ef2658531999","subnet-08a765fe7af589486","vpc-0c505f3f150d87b08","aws-gd-corp","us-west-2"
"i-04e4080d7e9d95dfb","GDCARCHDAPP01","running","Windows","LuisB","10.61.168.128",,"eni-0f54ac35f30a8ca65","subnet-0513acea1c1c4d1f9","vpc-0c505f3f150d87b08","aws-gd-corp","us-west-2"
"i-07944b55c40dd8122","env-265045waiousw2","running","Windows",,"10.61.128.189",,"eni-0be224e5218bd13e4","subnet-08a765fe7af589486","vpc-0c505f3f150d87b08","aws-gd-corp","us-west-2"
"i-09475fcae91ad9460","env-265045laiousw2","running",,,"10.61.140.151",,"eni-031e40fd69667ab95","subnet-08a765fe7af589486","vpc-0c505f3f150d87b08","aws-gd-corp","us-west-2"
"i-06825c4196f5effe2","Build-Jenkins","running",,"GDOTCI01-aem","10.61.88.31",,"eni-0d1b91953b9f920c5","subnet-0cb4b7634cea47668","vpc-0e3b8bd9d7091451a","aws-gd-aem-np","us-west-2"
"i-07788341973a64a35","Build-Git-Nexus","running",,"GDOTCI01-aem","10.61.89.145",,"eni-09c7c161b0f4213fd","subnet-0cb4b7634cea47668","vpc-0e3b8bd9d7091451a","aws-gd-aem-np","us-west-2"
"i-0188623255a9c3107","Build-Sonar","running",,"GDOTCI01-aem","10.61.89.132",,"eni-049aff23abade6b07","subnet-0cb4b7634cea47668","vpc-0e3b8bd9d7091451a","aws-gd-aem-np","us-west-2"
"i-0df2aae58cbcc844e","TEMP-TEST","stopped","Windows","aem-test","10.61.87.38",,"eni-0b6c30ccb5f6fc91a","subnet-03faf3033e845422a","vpc-0e3b8bd9d7091451a","aws-gd-aem-np","us-west-2"
"i-077305a66f83e4eed","Test-stopped","stopped",,"GDOTCI01-aem","10.61.87.80",,"eni-00ec061fff94a9a2a","subnet-03faf3033e845422a","vpc-0e3b8bd9d7091451a","aws-gd-aem-np","us-west-2"
"i-07e64b9562126d674","AEM Publish and Dispatcher","running",,"GDOTCI01-aem","10.61.87.140",,"eni-07e3d4a1e7062ec3d","subnet-03faf3033e845422a","vpc-0e3b8bd9d7091451a","aws-gd-aem-np","us-west-2"
"i-0afa619047e71bac4","AEM Author AEM Author","running",,"GDOTCI01-aem","10.61.86.209",,"eni-0c44c1c1e5fad1608","subnet-03faf3033e845422a","vpc-0e3b8bd9d7091451a","aws-gd-aem-np","us-west-2"
"i-0e2b6c08fd253690a","Nexpose AEM-NP-VPC","running",,,"10.61.81.232","54.185.166.132","eni-05a911c0d44fe30bd","subnet-0ca728b67448755f2","vpc-0e3b8bd9d7091451a","aws-gd-aem-np","us-west-2"
"i-042a969703904fb68","TEMP-TEST-WIN","running","Windows","aem-test","10.61.87.198",,"eni-074e7ae9d53f2fb13","subnet-03faf3033e845422a","vpc-0e3b8bd9d7091451a","aws-gd-aem-np","us-west-2"
"i-0254cbd22414d4f25","AEM-6.4","stopped",,"GDOTCI01-aem","10.61.86.169",,"eni-0113f2dc093ec7068","subnet-03faf3033e845422a","vpc-0e3b8bd9d7091451a","aws-gd-aem-np","us-west-2"
"i-03925bf9e7d9d24b4","Loadtest","running","Windows","GDOTCI01-aem","10.61.86.181","34.219.239.198","eni-0c7480b8ce99b2878","subnet-03faf3033e845422a","vpc-0e3b8bd9d7091451a","aws-gd-aem-np","us-west-2"
"i-071a000d895bfa9e4","Conversions-API-Gateway-kvicxs-go2bank-com-cb-bi-t-aghutk","running",,"fbconapi","10.61.80.203","54.185.186.26","eni-0673088bbb85986ec","subnet-0ca728b67448755f2","vpc-0e3b8bd9d7091451a","aws-gd-aem-np","us-west-2"
"i-09954924c3d82eb5a","Nexpose Scanner","running",,,"10.62.39.223",,"eni-07e4cfc7c48406f25","subnet-08a845663d96a608a","vpc-09320ad2b05f2e4e9","aws-gd-dsm-np","us-west-2"
"i-0bac94fad1a22b38e","GDOT NonProd QA DSE AZ3","running",,"Greendot-NonProd-Keypair","10.62.43.117",,"eni-0cdce43dcd075c7b9","subnet-0e20a8b2d3d82e153","vpc-09320ad2b05f2e4e9","aws-gd-dsm-np","us-west-2"
"i-0927d89262a08a183","GDOT NonProd DEV DSE AZ3","running",,"Greendot-NonProd-Keypair","10.62.43.49",,"eni-0fb361ecc5412b976","subnet-0e20a8b2d3d82e153","vpc-09320ad2b05f2e4e9","aws-gd-dsm-np","us-west-2"
"i-002ff998a12f90461","GDot NonProd DSE AZ3","running",,"Greendot-NonProd-Keypair","10.62.42.216",,"eni-04851fd80eea48659","subnet-0e20a8b2d3d82e153","vpc-09320ad2b05f2e4e9","aws-gd-dsm-np","us-west-2"
"i-02de4145e2428eb7d","GDOT NonProd PIE DSE AZ3","running",,"Greendot-NonProd-Keypair","10.62.43.245",,"eni-01e12143283d511e3","subnet-0e20a8b2d3d82e153","vpc-09320ad2b05f2e4e9","aws-gd-dsm-np","us-west-2"
"i-02370de5ba3304337","GDot NonProd STORAGE AZ3","running",,"Greendot-NonProd-Keypair","10.62.43.168",,"eni-0e1878c9871aa41c1","subnet-0e20a8b2d3d82e153","vpc-09320ad2b05f2e4e9","aws-gd-dsm-np","us-west-2"
"i-0f0be104cd0a47ad6","GDOT NonProd QA DSE AZ1","running",,"Greendot-NonProd-Keypair","10.62.39.243",,"eni-08fd34320cdf0bf7a","subnet-08a845663d96a608a","vpc-09320ad2b05f2e4e9","aws-gd-dsm-np","us-west-2"
"i-04c6dd64414b0c40f","GDOT NonProd DEV DSE AZ1","running",,"Greendot-NonProd-Keypair","10.62.38.225",,"eni-09c3ac15e9d228c78","subnet-08a845663d96a608a","vpc-09320ad2b05f2e4e9","aws-gd-dsm-np","us-west-2"
"i-0c3788f8e7db6a7d4","GDOT NonProd PIE DSE AZ1","running",,"Greendot-NonProd-Keypair","10.62.38.10",,"eni-0d61a20fa9ea27225","subnet-08a845663d96a608a","vpc-09320ad2b05f2e4e9","aws-gd-dsm-np","us-west-2"
"i-0c9fba71bdb08bcab","GDot NonProd DSE AZ1","running",,"Greendot-NonProd-Keypair","10.62.38.171",,"eni-0347412aa27bd7c3f","subnet-08a845663d96a608a","vpc-09320ad2b05f2e4e9","aws-gd-dsm-np","us-west-2"
"i-0743524cb99c595be","GDot NonProd STORAGE AZ1","running",,"Greendot-NonProd-Keypair","10.62.38.215",,"eni-0c3b93f0cfe0ab413","subnet-08a845663d96a608a","vpc-09320ad2b05f2e4e9","aws-gd-dsm-np","us-west-2"
"i-01ce3aa343bfd41d0","GDot NonProd OPSCENTER AZ1","running",,"Greendot-NonProd-Keypair","10.62.38.214",,"eni-064519530482df958","subnet-08a845663d96a608a","vpc-09320ad2b05f2e4e9","aws-gd-dsm-np","us-west-2"
"i-00f60285284287d5a","GDOT NonProd QA DSE AZ2","running",,"Greendot-NonProd-Keypair","10.62.40.83",,"eni-068352738a276a42f","subnet-0acad43ed8befbb9e","vpc-09320ad2b05f2e4e9","aws-gd-dsm-np","us-west-2"
"i-08f9be7812f7fc10f","GDOT NonProd DEV DSE AZ2","running",,"Greendot-NonProd-Keypair","10.62.41.107",,"eni-01432d779863d02ce","subnet-0acad43ed8befbb9e","vpc-09320ad2b05f2e4e9","aws-gd-dsm-np","us-west-2"
"i-01c3314da9f68e331","GDOT NonProd PIE DSE AZ2","running",,"Greendot-NonProd-Keypair","10.62.40.66",,"eni-07ca71d7b4cdad3d3","subnet-0acad43ed8befbb9e","vpc-09320ad2b05f2e4e9","aws-gd-dsm-np","us-west-2"
"i-08fe201c136291095","GDot NonProd DSE AZ2","running",,"Greendot-NonProd-Keypair","10.62.41.50",,"eni-04e931a9b8964cded","subnet-0acad43ed8befbb9e","vpc-09320ad2b05f2e4e9","aws-gd-dsm-np","us-west-2"
"i-04fa9ecff65461b75","GDot NonProd STORAGE AZ2","running",,"Greendot-NonProd-Keypair","10.62.41.144",,"eni-0f55cbf8f0edae584","subnet-0acad43ed8befbb9e","vpc-09320ad2b05f2e4e9","aws-gd-dsm-np","us-west-2"
